Tool Group,Tool ID,LotID,Time In,Time Out,Input 1,Input 2,Output,Failed
Metal Deposition,0,3,601,716,1358.5054195291114,1.801709286925713,4.889789911970329,False
Metal Deposition,0,2,811,892,1327.7815923859862,2.220153672978054,4.790298874168781,False
Metal Deposition,1,4,823,914,1310.913970729609,1.9861306005324624,4.773139335588716,False
Metal Deposition,1,8,1060,1154,1269.0696592952152,2.38149428609271,4.640890568278246,False
Metal Deposition,0,5,1056,1157,1283.375507054006,2.447866998442345,4.665897460152986,False
Metal Deposition,1,7,1154,1242,1245.9559233250268,3.2347445929794185,4.463251344496849,False
Metal Deposition,0,9,1668,1772,1261.8972409359476,4.092476663839358,4.332349388623901,False
Metal Deposition,0,1,1797,1885,1234.7672056152428,4.633689535057211,4.126935087679758,False
Metal Deposition,0,14,1922,2006,1184.5428641201545,4.932949771270688,3.9046303046780326,False
Metal Deposition,1,16,1978,2051,1159.0071379920182,3.7802923565150772,4.136647334734662,False
Metal Deposition,0,12,2094,2198,1174.0569800776261,6.297044512860303,3.4108701350963226,False
Metal Deposition,1,13,2180,2274,1114.5202753449532,4.1109608865782326,3.941718814817084,False
Metal Deposition,0,10,2446,2552,1152.9782510743871,7.608509736461691,2.781950545589145,True
Metal Deposition,1,22,2603,2687,1058.479653904163,5.615763617160871,3.3199151095782624,False
Metal Deposition,0,19,2662,2773,1353.477839765798,1.169009350756768,4.904469090371616,False
Metal Deposition,0,21,2773,2873,1327.2103456460302,1.8294491382727722,4.820330080140839,False
Metal Deposition,1,11,2687,2798,1016.5361176960766,6.325879318006085,2.9169360670803175,True
Metal Deposition,0,15,2873,2995,1288.7302034512018,2.259140991813798,4.698705581312822,False
Metal Deposition,1,25,2898,3007,1379.761403118419,1.5604755877614256,4.947201906037055,False
Metal Deposition,0,18,2995,3108,1234.0625474661247,2.70158318760509,4.519001488028228,False
Metal Deposition,0,29,3126,3227,1210.5476806054241,3.413298467004659,4.343286059110662,False
Metal Deposition,0,23,3463,3562,1184.0869851984783,4.0326459264644505,4.142914303345612,False
Metal Deposition,0,37,3594,3702,1138.1740917316883,4.289056176161288,3.9579436623713597,False
Metal Deposition,0,40,3804,3922,1103.9625276332306,4.823234002685552,3.7138131655248063,False
Metal Deposition,1,33,3832,3940,1276.615655281291,1.8365806040331203,4.710191373210559,False
Metal Deposition,0,26,4226,4302,1064.8212713500357,5.084999112116438,3.5218106130412403,False
Metal Deposition,1,28,4301,4385,1173.739482358038,2.6129544109776255,4.3912374829033896,False
Metal Deposition,0,44,4351,4431,1054.3675456353385,5.710284389603491,3.2731527314136812,False
Metal Deposition,1,46,4385,4472,1153.8641354319373,4.381891803124391,3.975257148919063,False
Metal Deposition,0,36,4431,4520,1042.7539107092268,6.35575995242537,2.9849496924055248,True
Metal Deposition,0,32,4639,4719,1315.5710926000288,1.3392037273227966,4.821732571787136,False
Metal Deposition,1,42,4848,4936,1116.148271129152,5.095465199438044,3.6630648403862685,False
Metal Deposition,0,35,4840,4951,1282.9014896520816,2.06567307610945,4.7045041419934766,False
Metal Deposition,0,39,5206,5317,1225.2760743603242,2.7315562582294346,4.4940981009266565,False
Metal Deposition,0,50,5334,5447,1107.4710100409486,3.7609496275746728,4.009479487833298,False
Metal Deposition,0,56,5451,5555,1077.6518306361925,4.6009379987644,3.7082163638232775,False
Metal Deposition,0,52,5749,5864,1070.6631253137552,4.983890452512059,3.5710335840792364,False
Metal Deposition,0,54,5928,6002,1037.6312957377957,5.833164404500972,3.177481785776618,False
Metal Deposition,1,45,6000,6100,1038.4473908018797,5.593993050392133,3.269348038096659,False
Metal Deposition,0,59,6058,6154,987.0369647720903,6.52770810051131,2.739748287513302,True
Metal Deposition,0,53,6349,6467,1374.3006791992427,1.3525643172000794,4.9428115745719525,False
Metal Deposition,1,57,6350,6442,1010.5979106050129,6.349389290035614,2.888872243061492,True
Metal Deposition,0,63,6467,6583,1328.8154867550295,2.0739231351301535,4.80543568557734,False
Metal Deposition,0,58,6632,6734,1214.1360628477366,2.4132618810839186,4.511823349581584,False
Metal Deposition,0,68,6745,6842,1195.3010175336967,3.0600749233351476,4.370457908873044,False
Metal Deposition,1,60,6789,6881,1342.9568309304072,1.38334611114359,4.876837670745062,False
Metal Deposition,0,61,6842,6931,1124.6193993347613,3.715326064539274,4.063753313762039,False
Metal Deposition,0,69,7268,7348,1082.500306890341,4.162765962568764,3.844066336194558,False
Metal Deposition,0,74,7617,7694,1046.5366129418692,4.689723114609148,3.59658700680506,False
Metal Deposition,0,67,7727,7837,998.5088006979232,5.115411455692847,3.324585738813588,False
Metal Deposition,1,71,7791,7897,1303.0970852067783,2.0980848495770137,4.74632735511084,False
Metal Deposition,1,72,8086,8185,1259.2815233036958,2.3861014218683065,4.618072161626443,False
Metal Deposition,0,75,8084,8183,950.4559631034238,5.6760205945817965,2.980811096036382,True
Metal Deposition,0,86,8503,8614,1356.5712413670917,1.4093435510457613,4.904225037709875,False
Metal Deposition,1,81,8564,8650,1231.3624834471343,3.035901993779207,4.4614223739543055,False
Metal Deposition,0,82,8614,8708,1318.515138123664,1.746645629450631,4.807022862778769,False
Metal Deposition,1,87,8650,8797,1161.9845177727977,3.869056440624975,4.12398554959138,False
Metal Deposition,0,90,8791,8903,1227.327659154734,2.4964328490705503,4.531318845019238,False
Metal Deposition,0,80,8948,9039,1190.0800143236302,2.509358988106165,4.4438898394552515,False
Metal Deposition,0,95,9237,9350,1144.8295188303255,2.9488630988719167,4.268662414625428,False
Metal Deposition,1,79,9260,9361,1127.9536756542168,4.809667995943846,3.784191868595374,False
Metal Deposition,0,96,9350,9441,1129.7904658972402,3.4719318280161597,4.130458719482577,False
Metal Deposition,1,97,9391,9478,1074.8872759659405,4.9593215510054485,3.590690120360855,False
Metal Deposition,0,89,9441,9537,1072.690528319161,3.7735024951466194,3.917668214461232,False
Metal Deposition,1,93,9478,9549,1043.7128487155696,6.003362747304326,3.1298224844195928,False
Metal Deposition,0,84,9537,9621,1047.3806999766878,4.096977944965855,3.769429844393718,False
Metal Deposition,0,99,9793,9889,1006.603787604872,4.389538562653052,3.5788741553799683,False
