Tool Group,Tool ID,LotID,Time In,Time Out,Input 1,Input 2,Output,Failed
Photo,0,2,447,452,102.6854123844139,4.005478383124875,5.134469522035152,False
Photo,0,1,539,545,105.82555145091176,4.071413707328745,5.299027834172105,False
Photo,1,3,540,545,103.11658487859168,4.043802089242613,5.158494967052896,False
Photo,0,2,743,748,109.21156256591823,4.091448208119583,5.475289276812986,False
Photo,0,4,760,765,112.35427893380201,4.127952563541306,5.64565939670205,False
Photo,0,5,987,993,114.21822670558356,4.1338797608644775,5.743667390354498,False
Photo,0,8,997,1003,116.38522815652516,4.180465427240452,5.872507383037043,False
Photo,0,7,1022,1027,117.92923429698774,4.212472079640555,5.966652178380825,False
Photo,0,6,1043,1049,131.8094770721155,4.2777586236978316,6.739490737276263,False
Photo,0,1,1171,1177,135.3483768534043,4.2835532620553165,6.932909413445612,False
Photo,0,9,1266,1271,138.96650943531748,4.293203539613578,7.1341236107471016,False
Photo,0,6,1354,1359,141.56017128405364,4.290172968746616,7.270854218637191,False
Photo,0,10,1467,1472,145.45566515839965,4.353740783309267,7.536343561295311,False
Photo,0,11,1595,1600,151.40264799332394,4.406350511327934,7.913786422390647,False
Photo,0,9,1604,1608,153.88804624199557,4.459440387511055,8.109424357533383,False
Photo,0,12,1662,1667,155.95810105926458,4.503504646840264,8.27685306655431,False
Photo,0,1,1725,1730,158.9057302659301,4.590641396955688,8.554617178357436,False
Photo,0,13,1733,1738,162.01037080560835,4.6881992086241535,8.870771217092248,False
Photo,0,10,1784,1789,164.8245722454047,4.681063948016695,9.02502365168864,False
Photo,0,15,1794,1799,167.56135918248555,4.698098342176883,9.21129451730571,False
Photo,0,14,1860,1866,171.5277662395588,4.719023945228907,9.477763237321442,False
Photo,0,16,1912,1918,175.74434237948213,4.693067133770231,9.683587073333584,False
Photo,0,6,1944,1951,178.71289369463452,4.714176407774975,9.893354801248003,False
Photo,1,12,2033,2039,107.28733901079718,4.074111796279203,5.373864202016045,False
Photo,1,18,2053,2060,109.90877311726676,4.098237214196648,5.512431559329234,False
Photo,0,17,1961,1966,182.91131184040376,4.8318589385373665,10.353691687086181,True
Photo,0,13,2115,2120,102.12380914344149,4.038614418247529,5.107961114502157,False
Photo,0,11,2142,2148,103.6918166397146,4.106775898470159,5.195218841216443,False
Photo,0,15,2208,2214,106.62618381533524,4.144687165783809,5.35376042569058,False
Photo,0,19,2266,2272,114.80048408707772,4.207635363758264,5.799994225210634,False
Photo,0,21,2325,2331,118.27143324568364,4.276642636259632,6.015020454649119,False
Photo,0,18,2354,2360,121.774290115107,4.334506398680577,6.235707263262356,False
Photo,0,10,2384,2389,128.01432035150245,4.339868165365869,6.577485898262664,False
Photo,0,22,2537,2543,131.26419183876106,4.3880469536629985,6.790149491083705,False
Photo,0,23,2555,2560,133.18348647406776,4.376865906402935,6.8865098382535805,False
Photo,0,19,2596,2601,136.84187512880615,4.381212818261722,7.090312800942563,False
Photo,0,11,2604,2609,140.57184028569333,4.4103661137046855,7.320908543221799,False
Photo,0,24,2618,2624,141.8880557282481,4.442738025861729,7.424229204938259,False
Photo,0,21,2640,2645,145.04372926626786,4.464294379206647,7.621390477555263,False
Photo,0,26,2805,2810,151.04723758941716,4.508424881255442,8.006030880783385,False
Photo,1,15,2809,2814,114.27891215009758,4.116940604366257,5.741655467686216,False
Photo,0,25,2818,2824,157.4186854993202,4.567968553330031,8.439878510466425,False
Photo,0,23,2856,2862,159.53688496059536,4.624862056237617,8.63709979717327,False
Photo,0,18,2867,2872,162.8606012194043,4.702564747301465,8.941874203182211,False
Photo,1,27,2867,2873,119.77896143349291,4.132286926326195,6.030404212287576,False
Photo,0,28,2902,2908,166.76631906412737,4.7622622839820234,9.265005933783293,False
Photo,0,29,3062,3067,170.24627453659758,4.87054195003611,9.655639480439486,False
Photo,1,31,3148,3153,126.05662815655744,4.157341171183691,6.3664567847932325,False
Photo,1,27,3172,3177,131.38737767072297,4.202918095019617,6.669570096236899,False
Photo,0,24,3118,3124,175.5799869229496,4.890963633805127,10.017645191926785,True
Photo,0,32,3268,3274,102.65202688594961,4.039156141799826,5.134665985277844,False
Photo,0,33,3348,3353,104.4427521575785,4.054749129854488,5.226676801673669,False
Photo,0,26,3367,3373,105.78775084414677,4.130051393776039,5.307253038020256,False
Photo,1,35,3369,3374,134.59966268293067,4.246999612832945,6.867313829601775,False
Photo,0,23,3386,3391,108.25410466098626,4.173633725281583,5.445694455091282,False
Photo,0,36,3443,3449,110.24500859625104,4.21757230808989,5.563782161519922,False
Photo,0,37,3525,3530,115.75277955501994,4.302996856395064,5.893205558801836,False
Photo,0,39,3612,3617,118.58776312208303,4.350451926579723,6.07222289998764,False
Photo,0,28,3630,3636,120.95096726469936,4.375590926492599,6.2164450503400595,False
Photo,0,40,3741,3747,122.84831334285018,4.4065637101415795,6.341178880383883,False
Photo,0,33,3766,3771,126.85374076641496,4.465742095165627,6.607481356520191,False
Photo,0,41,3795,3801,128.98262679374196,4.5185863130825314,6.771472141400535,False
Photo,0,32,3831,3838,131.60630207517008,4.5303735840258765,6.930502519442387,False
Photo,0,35,3907,3913,136.6430110476322,4.567467319710881,7.253081522668236,False
Photo,0,42,3960,3966,138.78704208110133,4.61156297880527,7.4228657300047,False
Photo,1,39,4013,4018,136.65788723228712,4.272860136686319,6.995151640221014,False
Photo,0,44,4013,4018,139.33312109233887,4.667661925529993,7.517807620088345,False
Photo,0,45,4124,4130,144.53008316833365,4.6899549471027715,7.848569962643597,False
Photo,0,26,4159,4165,147.25464612758552,4.7002910703757905,8.021586181964762,False
Photo,0,28,4232,4237,150.17996355979935,4.725089682015972,8.226687874237328,False
Photo,0,46,4282,4288,153.13776870207593,4.773024365545712,8.469131644185435,False
Photo,1,44,4284,4289,137.9024348591665,4.3092028912451195,7.089419237481547,False
Photo,0,36,4363,4368,154.48814012653196,4.805750585863915,8.597822145006472,False
Photo,0,48,4458,4463,157.4201336065169,4.857633921537539,8.854342831513856,False
Photo,0,49,4523,4530,160.64197644914574,4.899532113205065,9.11854539910377,False
Photo,0,32,4575,4582,163.82477956658556,4.935772492213901,9.375642469921718,False
Photo,0,50,4660,4666,164.64651317909716,5.045306713838933,9.623351650108074,False
