Input 1,Input 2,Rolling Mean 1,Rolling Mean 2,RUL
1181.1765493761975,69.27454155547485,1108.8794117630737,67.3665206910396,6
1193.446649387159,69.55914037307453,1117.129087256411,67.37766033340995,8
1227.4187987024748,69.64215061451928,1143.894967002399,68.1333029533966,5
1211.1695654106254,69.40325248304615,1152.4101027029694,68.17515715446181,7
1299.3030973161265,71.76497441664768,1188.7157229320517,69.20682526665401,4
1275.7067958675254,69.94357872014486,1187.5713684201462,68.86405101856651,6
1324.4935679791795,72.26465648383714,1231.7263732617982,70.21069209342913,3
1288.9084665804571,71.07957839872587,1223.5864609926914,69.72606650165426,5
1355.6187340065112,72.81965701174457,1277.6021494760978,71.1531960164447,2
1303.1540295986158,71.82798944168374,1254.4771013688764,70.36270788333503,4
1176.3325161365235,68.34390951914914,1079.5075581754609,66.8503954746403,7
1370.0902963468457,73.96503652054766,1315.3848988702275,72.09129500945926,1
1314.1745682533665,72.9343000665082,1278.622685142118,71.03773982202176,3
1218.0722339531867,69.02408141727764,1121.01400093086,67.5745995686381,6
1393.8628440662858,75.0725664582966,1348.6737079429897,73.17737817821474,0
1324.6312268874874,72.90487989898146,1301.3150174374905,71.73806530520883,2
1259.0969136596796,70.0637774290216,1164.961887859144,68.43247454170711,5
1372.953421222372,73.53102106997466,1320.7643425084598,72.45555377517479,1
1400.7629808303084,74.4835778060999,1343.13524535843,73.13635365664959,0
1280.8789791427816,70.46492960441385,1208.4617937629332,69.12033839543206,4
1329.856548307131,71.49889515900556,1252.8474382398606,69.87911862577356,3
1356.5644452707347,71.92288179848407,1288.8938240667026,70.59491308164056,2
1381.0828211526314,72.74589162077307,1321.4959415065919,71.33927512233963,1
1219.411875066157,68.43627601903262,1126.4222481535721,66.997616336634,6
1247.1877349557567,68.76025658573293,1163.1800329961884,67.57671538317315,5
1470.8106140527857,73.83491648336947,1363.838681585213,72.09350293320921,0
1303.7913834744031,69.50282641473638,1208.0980309318504,68.1757364516802,4
1184.6478527990614,67.93396656279658,1111.2220996350047,66.83036155867788,7
1350.4176384694672,70.10984629109146,1258.2185728880181,68.83406504410985,3
1375.6519835342951,70.73676249954757,1299.292123100016,69.50919356202819,2
1435.4198700893944,72.36985716685548,1342.4937221046632,70.29590979159278,1
1214.6677641042352,68.66170583060837,1148.5549075149788,67.3971059757212,6
1236.9393633043285,69.17844171755632,1181.185567878648,68.020552532986,5
1479.7097171987307,73.07912916776205,1388.9981185532583,71.15968430799857,0
1282.943391523139,69.8621633165011,1215.0323914172889,68.60658102565984,4
1332.2105933810535,70.3961793234384,1250.2817930223634,69.20649135018016,3
1377.5450322808365,72.27621398346334,1288.8612289187186,70.07494083431351,2
1156.5173376076918,68.97621313272568,1097.965455665903,67.42858359701764,10
1422.9234886944016,72.71443655557367,1330.5123738367517,70.88548697930658,1
1163.8606243951997,69.45598840929937,1126.8108537944063,68.19133182044729,9
1178.8683503842913,69.60227021240586,1084.402639999657,68.04653108502393,8
1466.7849697371553,73.32870059107174,1376.481495123317,71.71553875400966,0
1179.6574261122948,70.11092744729767,1147.4753358768583,68.90928839719238,8
1199.5457494626885,70.34195741191107,1123.662838382308,68.72651160724025,7
1231.5368361893452,71.08217098690481,1162.8842833810163,69.46148966488389,6
1240.7528764863266,70.49329368271789,1174.3510908667508,69.4551197508702,7
1259.7665314263593,71.35846349194325,1197.6339305993738,70.18692454547227,5
1294.6522329943075,73.42621747816027,1232.8739400913985,71.16221591626505,4
1267.3473346294168,71.30522043376041,1201.627119846186,70.06832862116019,6
1334.5275904349746,73.96848129907224,1264.005788101535,72.03545813359833,3
1137.946928726043,71.16012092687782,1099.4579421888375,68.72916931830846,5
1348.435466775181,74.79482011163405,1293.7837315640336,72.92603067354293,2
1353.387048693981,75.31099092007028,1318.1537740649605,73.77179466017603,1
1218.5945573903912,71.60187243950945,1133.8695602626317,69.89163920863496,4
1394.030292158273,75.92254161422058,1345.0065262113435,74.68461028463147,0
1306.055255250941,71.79392553911171,1231.5347033748358,70.63187110243742,5
1237.3650045551897,72.47348454705276,1163.6983902904574,70.93113341472665,3
1334.2129335556267,72.442091384861,1265.6051652069214,71.22909169754973,4
1273.3982683064855,72.88750601284023,1198.5608743134085,71.75153714121834,2
1342.0173861726912,72.65570512383248,1298.0771572190006,71.7380472328567,3
1288.1049742625903,74.3952157716556,1231.08194664814,72.50363993958717,1
1369.8056098095824,73.06113576973621,1323.8877038836515,72.25161565026038,2
1388.81322537495,75.08646005977855,1281.2552059779214,73.28890776616731,0
1409.6668163170982,73.67588586755637,1352.351600221188,72.72574873701956,1
1269.9969844420136,67.55364392712666,1165.703738879368,66.53609859632084,6
1438.0231007289738,74.48767477020279,1378.7451693167945,73.26449858323778,0
1305.6206620329906,67.88803496355723,1214.2938614297923,67.04896818758525,5
1357.00809688637,69.35771162301461,1270.309656706048,67.77361241853107,4
1380.8954266542555,70.65442113084886,1310.1127137024944,68.53323733553925,3
1407.258532539103,71.57048720460683,1344.1559405109465,69.40485976983084,2
1127.4284181690527,66.91072388767024,1084.7119094231562,66.08874030868085,9
1422.123890398661,72.76739634588472,1374.581321702276,70.44761025358245,1
1155.4485018521186,67.86001641537338,1108.3273951426665,66.61953109982518,8
1473.4966097832748,74.07687639825046,1408.1565112523328,71.6853785405211,0
1176.5219701668725,68.7819727560803,1132.0541157038604,67.23044458540146,7
1206.1012258999065,69.05917243279055,1156.5678174551879,67.82388079017892,6
1204.574829669369,68.11429885800683,1116.7186187605603,66.75936100202797,9
1222.4574256270494,69.51042399269312,1177.591508343,68.42446189692153,5
1171.2711308761172,67.80853586098152,1111.0236506065016,66.5075021660608,8
1217.6105582521006,68.54797149622776,1154.2160616372819,67.42573022870374,8
1205.828591862865,68.35711733802223,1145.9757787476785,67.11937876162844,7
1252.6560266983006,69.86033764690089,1187.9795382314142,68.17090397703024,7
1265.7552963715157,69.97568132372348,1205.2568839834926,69.03745338413216,4
1224.8371453042316,69.30947778293762,1178.786905917069,67.85751689642973,6
1274.4324626301295,69.8903567951054,1220.221414054731,68.76535636768062,6
1330.15050874302,70.77487646877651,1240.1972853616728,69.62042539481278,3
1269.397877053509,70.03724676291996,1206.8146158694524,68.5635092339178,5
1369.696652430721,71.61670955136414,1278.8322218144426,70.18737275386955,2
1293.9548794171164,70.35180446584667,1248.6457513334033,69.3529538524175,5
1290.1844489887872,71.2678152820275,1232.3038388171021,69.35603860537776,4
